,coarse_label,prediction,sent
10656,0,1,Even accepting this in the right frame of mind can only provide it with so much leniency .
10661,0,1,For dance completists only .
10662,0,1,"Spreads itself too thin , leaving these actors , as well as the members of the commune , short of profound characterizations"
10664,0,1,The locale ... remains far more interesting than the story at hand .
10671,0,1,Real-life strongman Ahola lacks the charisma and ability to carry the film on his admittedly broad shoulders .
10676,0,1,One of the most depressing movie-going experiences I can think of is to sit through about 90 minutes of a so-called ` comedy ' and not laugh once .
10682,0,1,The movie 's vision of a white American zealously spreading a Puritanical brand of Christianity to South Seas islanders is one only a true believer could relish .
10689,0,1,"Forgettable , if good-hearted , movie ."
10690,0,1,The film 's most improbable feat ?
10692,0,1,... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season .
10693,0,1,The Chateau ... is less concerned with cultural and political issues than doting on its eccentric characters .
10694,0,1,"Cruel and inhuman cinematic punishment ... simultaneously degrades its characters , its stars and its audience ."
10695,1,0,It 's not too fast and not too slow .
10705,0,1,Family togetherness takes a back seat to inter-family rivalry and workplace ambition ... whole subplots have no explanation or even plot relevance .
10708,1,0,Two tedious acts light on great scares and a good surprise ending .
10710,0,1,The entire movie is in need of a scented bath .
10712,0,1,"The story of Trouble Every Day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult ."
10717,0,1,"It looks good , but it is essentially empty ."
10718,0,1,The film never finds its tone and several scenes run too long .
10722,0,1,Do we really need another film that praises female self-sacrifice ?
10726,0,1,"The entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense ."
10728,0,1,This film is too busy hitting all of its assigned marks to take on any life of its own .
10731,0,1,Starts off witty and sophisticated and you want to love it -- but filmmaker Yvan Attal quickly writes himself into a corner .
10732,0,1,Some Like It Hot on the Hardwood proves once again that a man in drag is not in and of himself funny .
10739,0,1,"As a feature-length film , it wears out its welcome as tryingly as the title character ."
10752,0,1,The leads we are given here are simply too bland to be interesting .
10754,0,1,Adam Sandler 's 8 Crazy Nights is 75 wasted minutes of Sandler as the voice-over hero in Columbia Pictures ' perverse idea of an animated holiday movie .
10759,0,1,A singularly off-putting romantic comedy .
10760,0,1,This is an exercise not in biography but in hero worship .
10761,0,1,It all comes down to whether you can tolerate Leon Barlow .
10763,0,1,"In the spirit of the season , I assign one bright shining star to Roberto Benigni 's Pinocchio -- but I guarantee that no wise men will be following after it ."
10767,0,1,A culture clash comedy only half as clever as it thinks it is .
10771,0,1,"Starts out strongly before quickly losing its focus , point and purpose in a mess of mixed messages , over-blown drama and Bruce Willis with a scar ."
10772,0,1,"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes ."
10776,0,1,"Its screenplay serves as auto-critique , and its clumsiness as its own most damning censure ."
10782,0,1,"A beyond-lame satire , Teddy Bears ' Picnic ranks among the most pitiful directing debuts by an esteemed writer-actor ."
10790,0,1,"Like Mike is a slight and uninventive movie : Like the exalted Michael Jordan referred to in the title , many can aspire but none can equal ."
10796,0,1,"From its nauseating spinning credits sequence to a very talented but underutilized supporting cast , Bartleby squanders as much as it gives out ."
10797,0,1,"Yet another genre exercise , Gangster No. 1 is as generic as its title ."
10799,0,1,"There 's an admirable rigor to Jimmy 's relentless anger , and to the script 's refusal of a happy ending , but as those monologues stretch on and on , you realize there 's no place for this story to go but down ."
10801,0,1,"A lightweight , uneven action comedy that freely mingles French , Japanese and Hollywood cultures ."
10809,0,1,A disappointment for a movie that should have been the ultimate IMAX trip .
10819,0,1,"A clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ..."
10824,0,1,"To the filmmakers , Ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit ."
10825,0,1,"This is a movie filled with unlikable , spiteful idiots ; whether or not their friendship is salvaged makes no difference in the least ."
10826,0,1,"It 's as if Allen , at 66 , has stopped challenging himself ."
10834,0,1,Here the love scenes all end in someone screaming .
10840,0,1,"Presents nothing special and , until the final act , nothing overtly disagreeable ."
10856,1,0,"While the material is slight , the movie is better than you might think ."
10859,0,1,"More busy than exciting , more frantic than involving , more chaotic than entertaining ."
10861,0,1,It 's makes a better travelogue than movie .
10867,0,1,The holiday message of the 37-minute Santa vs. the Snowman leaves a lot to be desired .
10871,0,1,"If this is cinema , I pledge allegiance to Cagney and Lacey ."
10879,0,1,"Perry 's good and his is an interesting character , but `` Serving Sara '' has n't much more to serve than silly fluff ."
10885,0,1,"Right now , they 're merely signposts marking the slow , lingering death of imagination ."
10891,0,1,"Piccoli 's performance is amazing , yes , but the symbols of loss and denial and life-at-arm 's - length in the film seem irritatingly transparent ."
10896,0,1,A sustained fest of self-congratulation between actor and director that leaves scant place for the viewer .
10899,0,1,There 's not a comedic moment in this romantic comedy .
10921,1,0,"If you are into splatter movies , then you will probably have a reasonably good time with The Salton Sea ."
10922,0,1,"A dull , simple-minded and stereotypical tale of drugs , death and mind-numbing indifference on the inner-city streets ."
10923,0,1,The feature-length stretch ... strains the show 's concept .
10927,0,1,The densest distillation of Roberts ' movies ever made .
10929,0,1,A handsome but unfulfilling suspense drama more suited to a quiet evening on PBS than a night out at an AMC .
10933,0,1,A reworking of Die Hard and Cliffhanger but it 's nowhere near as exciting as either .
10934,0,1,Suffers from unlikable characters and a self-conscious sense of its own quirky hipness .
10935,0,1,A film without surprise geared toward maximum comfort and familiarity .
10939,0,1,"It stars schticky Chris Rock and stolid Anthony Hopkins , who seem barely in the same movie ."
10940,0,1,Their contrast is neither dramatic nor comic -- it 's just a weird fizzle .
10945,0,1,"Tykwer 's surface flash is n't just a poor fit with Kieslowski 's lyrical pessimism ; it completely contradicts everything Kieslowski 's work aspired to , including the condition of art ."
10955,0,1,"Sandra Bullock and Hugh Grant make a great team , but this predictable romantic comedy should get a pink slip ."
10956,0,1,"Allegiance to Chekhov , which director Michael Cacoyannis displays with somber earnestness in the new adaptation of The Cherry Orchard , is a particularly vexing handicap ."
10961,0,1,"Of all the Halloween 's , this is the most visually unappealing ."
10963,0,1,"Despite its dry wit and compassion , the film suffers from a philosophical emptiness and maddeningly sedate pacing ."
10965,0,1,Attal pushes too hard to make this a comedy or serious drama .
10970,0,1,The only young people who possibly will enjoy it are infants ... who might be distracted by the movie 's quick movements and sounds .
10978,0,1,Lurid and less than lucid work .
10979,0,1,A wannabe comedy of manners about a brainy prep-school kid with a Mrs. Robinson complex founders on its own preciousness -- and squanders its beautiful women .
10987,0,1,"The connected stories of Breitbart and Hanussen are actually fascinating , but the filmmaking in Invincible is such that the movie does not do them justice ."
10988,0,1,"A depressingly retrograde , ` post-feminist ' romantic comedy that takes an astonishingly condescending attitude toward women ."
10991,1,0,"Just bring on the Battle Bots , please !"
10992,0,1,"While it 's all quite tasteful to look at , the attention process tends to do a little fleeing of its own ."
10997,0,1,The Sweetest Thing leaves a bitter taste .
11000,0,1,A thriller without a lot of thrills .
11007,0,1,"Despite its visual virtuosity , ` Naqoyqatsi ' is banal in its message and the choice of material to convey it ."
11008,0,1,Slap her - she 's not funny !
11010,1,0,"Though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should ."
11011,0,1,`` One look at a girl in tight pants and big tits and you turn stupid ? ''
11026,0,1,"It just goes to show , an intelligent person is n't necessarily an admirable storyteller ."
11042,0,1,Perhaps even the SLC high command found writer-director Mitch Davis 's wall of kitsch hard going .
11045,0,1,The romance between the leads is n't as compelling or as believable as it should be .
11048,0,1,Supposedly authentic account of a historical event that 's far too tragic to merit such superficial treatment .
11049,0,1,"Adroit but finally a trifle flat , Mad Love does n't galvanize its outrage the way , say , Jane Campion might have done , but at least it possesses some ."
11050,0,1,To Blandly Go Where We Went 8 Movies Ago ...
11055,0,1,"Dull , a road-trip movie that 's surprisingly short of both adventure and song ."
11056,0,1,"I walked away not really know who `` they '' were , what `` they '' looked like ."
11061,0,1,But the movie that does n't really deliver for country music fans or for family audiences
11063,0,1,"As for children , they wo n't enjoy the movie at all ."
11067,0,1,"The movie is genial but never inspired , and little about it will stay with you ."
11069,0,1,But its storytelling prowess and special effects are both listless .
11070,0,1,"Despite the opulent lushness of every scene , the characters never seem to match the power of their surroundings ."
11072,0,1,What should have been a painless time-killer becomes instead a grating endurance test .
11084,0,1,The film is way too full of itself ; it 's stuffy and pretentious in a give-me-an-Oscar kind of way .
11098,0,1,"Solondz is without doubt an artist of uncompromising vision , but that vision is beginning to feel , if not morally bankrupt , at least terribly monotonous ."
11108,0,1,Novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama .
11109,0,1,"Been there , done that , liked it much better the first time around - when it was called The Professional ."
11110,0,1,"The film is all over the place , really ."
11118,0,1,"While this one gets off with a good natured warning , future Lizard endeavors will need to adhere more closely to the laws of laughter"
11123,0,1,"The ethos of the Chelsea Hotel may shape Hawke 's artistic aspirations , but he has n't yet coordinated his own DV poetry with the Beat he hears in his soul ."
11132,1,0,Simone is not a bad film .
11134,0,1,"Once he starts learning to compromise with reality enough to become comparatively sane and healthy , the film becomes predictably conventional ."
11140,0,1,"This hastily mounted production exists only to capitalize on Hopkins ' inclination to play Hannibal Lecter again , even though Harris has no immediate inclination to provide a fourth book ."
11144,0,1,"The film never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class ."
11147,0,1,"The film falls short on tension , eloquence , spiritual challenge -- things that have made the original New Testament stories so compelling for 20 centuries ."
11148,1,0,"By the end of it all I sort of loved the people onscreen , even though I could not stand them ."
11151,0,1,At best this is a film for the under-7 crowd .
11154,0,1,The whole talking-animal thing is grisly .
11165,0,1,But ticket-buyers with great expectations will wind up as glum as Mr. De Niro .
11168,0,1,"Fails in making this character understandable , in getting under her skin , in exploring motivation ... Well before the end , the film grows as dull as its characters , about whose fate it is hard to care ."
11180,0,1,"Behan 's memoir is great material for a film -- rowdy , brawny and lyrical in the best Irish sense -- but Sheridan has settled for a lugubrious romance ."
11182,0,1,"Lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling ."
11184,0,1,"If nothing else , `` Rollerball '' 2002 may go down in cinema history as the only movie ever in which the rest of the cast was outshined by LL Cool J."
11186,0,1,How do you make a movie with depth about a man who lacked any ?
11192,0,1,"Lyne 's latest , the erotic thriller Unfaithful , further demonstrates just how far his storytelling skills have eroded ."
11195,0,1,Report card : Does n't live up to the exalted tagline - there 's definite room for improvement .
11197,0,1,"The pacing is deadly , the narration helps little and Naipaul , a juicy writer , is negated ."
11207,0,1,There 's not one decent performance from the cast and not one clever line of dialogue .
11209,0,1,"It 's an odd show , pregnant with moods , stillborn except as a harsh conceptual exercise ."
11212,0,1,Earnest yet curiously tepid and choppy recycling in which predictability is the only winner .
11214,1,0,"The exploitative , clumsily staged violence overshadows everything , including most of the actors ."
11233,0,1,"Violent , vulgar and forgettably entertaining ."
11242,0,1,This movie plays like an extended dialogue exercise in Retard 101 .
11245,0,1,"If they broke out into elaborate choreography , singing and finger snapping it might have held my attention , but as it stands I kept looking for the last exit from Brooklyn ."
11248,0,1,Where the film falters is in its tone .
11250,0,1,"Ultimately , Sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness ."
11268,0,1,"It should be interesting , it should be poignant , it turns out to be affected and boring ."
11277,0,1,"Never decides whether it wants to be a black comedy , drama , melodrama or some combination of the three ."
11278,0,1,It has become apparent that the franchise 's best years are long past .
11283,0,1,"Like a bad improvisation exercise , the superficially written characters ramble on tediously about their lives , loves and the art they 're struggling to create ."
11285,1,0,Competently directed but terminally cute drama .
11292,1,0,Those eternally devoted to the insanity of Black will have an intermittently good time .
11294,0,1,"The self-serious Equilibrium makes its point too well ; a movie , like life , is n't much fun without the highs and lows ."
11295,1,0,"The work of an exhausted , desiccated talent who ca n't get out of his own way ."
11296,0,1,"The main characters are simply named The Husband , The Wife and The Kidnapper , emphasizing the disappointingly generic nature of the entire effort ."
11305,0,1,"A so-so , made-for-TV something posing as a real movie ."
11307,0,1,"Whether this is art imitating life or life imitating art , it 's an unhappy situation all around ."
11308,0,1,An uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .
11309,1,0,"A formula family tearjerker told with a heavy Irish brogue ... accentuating , rather than muting , the plot 's saccharine thrust ."
11313,0,1,"The sort of picture in which , whenever one of the characters has some serious soul searching to do , they go to a picture-perfect beach during sunset ."
11326,0,1,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted .
11330,0,1,"... for all its social and political potential , State Property does n't end up being very inspiring or insightful ."
11332,0,1,"Little more than a stylish exercise in revisionism whose point ... is no doubt true , but serves as a rather thin moral to such a knowing fable ."
11342,0,1,Is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ?
11343,0,1,"More successful at relating history than in creating an emotionally complex , dramatically satisfying heroine"
11348,0,1,The drama discloses almost nothing .
11350,0,1,"Belongs in the too-hot-for-TV direct-to-video\/DVD category , and this is why I have given it a one-star rating ."
11367,0,1,"Unfortunately , the experience of actually watching the movie is less compelling than the circumstances of its making ."
11370,0,1,"Chen films the resolutely downbeat Smokers Only with every indulgent , indie trick in the book ."
11371,0,1,... a rather bland affair .
11376,0,1,"Soulless and -- even more damning -- virtually joyless , XXX achieves near virtuosity in its crapulence ."
11385,0,1,The lead actors share no chemistry or engaging charisma .
11392,0,1,"It feels like very light Errol Morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs ."
11393,0,1,A period story about a Catholic boy who tries to help a Jewish friend get into heaven by sending the audience straight to hell .
11396,0,1,"Proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness ."
11400,0,1,Each scene immediately succumbs to gravity and plummets to earth .
11401,0,1,The only fun part of the movie is playing the obvious game .
11403,0,1,I spied with my little eye ... a mediocre collection of cookie-cutter action scenes and occasionally inspired dialogue bits
11404,0,1,"Entertains not so much because of its music or comic antics , but through the perverse pleasure of watching Disney scrape the bottom of its own cracker barrel ."
11405,0,1,The satire is just too easy to be genuinely satisfying .
11406,0,1,Less funny than it should be and less funny than it thinks it is .
11413,0,1,"An allegory concerning the chronically mixed signals African American professionals get about overachieving could be intriguing , but the supernatural trappings only obscure the message ."
11419,0,1,"Too long , and larded with exposition , this somber cop drama ultimately feels as flat as the scruffy sands of its titular community ."
11423,0,1,"The histrionic muse still eludes Madonna and , playing a charmless witch , she is merely a charmless witch ."
11424,0,1,You have no affinity for most of the characters .
11425,0,1,Nothing about them is attractive .
11445,0,1,"Further sad evidence that Tom Tykwer , director of the resonant and sense-spinning Run Lola Run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap ."
11449,0,1,A full-frontal attack on audience patience .
11456,0,1,"The film , like Jimmy 's routines , could use a few good laughs ."
11458,0,1,Purports to be a Hollywood satire but winds up as the kind of film that should be the target of something deeper and more engaging .
11473,0,1,The uneven movie does have its charms and its funny moments but not quite enough of them .
11477,1,0,The campy results make Mel Brooks ' Borscht Belt schtick look sophisticated .
11478,0,1,Its appeal will probably limited to LDS Church members and undemanding armchair tourists .
11480,0,1,Cherish would 've worked a lot better had it been a short film .
11482,0,1,"All three descriptions suit Evelyn , a besotted and obvious drama that tells us nothing new ."
11494,0,1,"... Blade II is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves ."
11496,0,1,"Though there are many tense scenes in Trapped , they prove more distressing than suspenseful ."
11498,0,1,Feels strangely hollow at its emotional core .
11501,0,1,This director 's cut -- which adds 51 minutes -- takes a great film and turns it into a mundane soap opera .
11502,0,1,Characterisation has been sacrificed for the sake of spectacle .
11509,0,1,"Like the Tuck family themselves , this movie just goes on and on and on and on"
11518,0,1,"You come away thinking not only that Kate is n't very bright , but that she has n't been worth caring about and that maybe she , Janine and Molly -- an all-woman dysfunctional family -- deserve one another ."
11523,0,1,"It 's provocative stuff , but the speculative effort is hampered by Taylor 's cartoonish performance and the film 's ill-considered notion that Hitler 's destiny was shaped by the most random of chances ."
11526,0,1,"For this sort of thing to work , we need agile performers , but the proficient , dull Sorvino has no light touch , and Rodan is out of his league ."
11527,0,1,Narc is all menace and atmosphere .
11529,0,1,"Despite Juliet Stevenon 's attempt to bring cohesion to Pamela 's emotional roller coaster life , it is not enough to give the film the substance it so desperately needs ."
11532,0,1,It 's so downbeat and nearly humorless that it becomes a chore to sit through -- despite some first-rate performances by its lead .
11540,1,0,The Dangerous Lives of Altar Boys ' take on adolescence feels painfully true .
11556,0,1,"American and European cinema has amassed a vast Holocaust literature , but it is impossible to think of any film more challenging or depressing than The Grey Zone ."
11559,1,0,Alternates between deadpan comedy and heartbreaking loneliness and is n't afraid to provoke introspection in both its characters and its audience .
11560,1,0,"The script is smart , not cloying ."
11564,1,0,An ambitious ` what if ? '
11566,1,0,"`` The Dangerous Lives of Altar Boys '' has flaws , but it also has humor and heart and very talented young actors"
11569,1,0,"It 's funny , as the old saying goes , because it 's true ."
11572,1,0,From blushing to gushing -- Imamura squirts the screen in ` Warm Water Under a Red Bridge '
11574,1,0,"Not a schlocky creature feature but something far more stylish and cerebral -- and , hence , more chillingly effective ."
11579,0,1,I did n't smile .
11584,0,1,Eisenstein lacks considerable brio for a film about one of cinema 's directorial giants .
11586,0,1,This is no `` Waterboy ! ''
11592,1,0,But it 's surprisingly harmless .
11593,1,0,What 's next ?
11614,0,1,"Long before it 's over , you 'll be thinking of 51 ways to leave this loser ."
11618,1,0,Spiderman ROCKS
11632,1,0,Never once predictable .
11637,1,0,"Polished , well-structured film ."
11639,1,0,Psychologically savvy .
11644,1,0,It strikes hardest ... when it reminds you how pertinent its dynamics remain .
11646,1,0,One-of-a-kind near-masterpiece .
11653,1,0,Highly watchable stuff .
11660,1,0,"Reassuring , retro uplifter ."
11666,1,0,Refreshing .
11669,1,0,See it .
11672,1,0,Morvern rocks .
11673,1,0,Intelligent and moving .
11676,1,0,Deliciously slow .
11681,1,0,Neatly constructed thriller .
11689,1,0,... quite endearing .
11691,1,0,Good-naturedly cornball sequel .
11695,1,0,Hard to resist .
11699,1,0,Rewarding .
11700,1,0,Sleek and arty .
11702,1,0,A thought-provoking picture .
11704,0,1,Almost peerlessly unsettling .
11708,1,0,A well-executed spy-thriller .
11715,1,0,`` Red Dragon '' never cuts corners .
11716,1,0,Full of surprises .
11719,1,0,a joyous occasion
11734,0,1,Aan opportunity wasted .
11742,1,0,Amazingly dopey .
11768,0,1,"Sluggish , tonally uneven ."
11771,0,1,A non-mystery mystery .
11791,0,1,A less-than-thrilling thriller .
11803,0,1,Dramatically lackluster .
11809,0,1,Incoherence reigns .
11810,0,1,A half-assed film .
11833,0,1,An opportunity missed .
11843,0,1,"Flat , misguided comedy ."
11849,1,0,Well-made but mush-hearted .
11852,1,0,"We 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in Fire that makes the formula fresh again ."
