,fine_label,prediction,sent
10656,1,2,Even accepting this in the right frame of mind can only provide it with so much leniency .
10658,1,3,All the small moments and flashbacks do n't add up to much more than trite observations on the human condition .
10661,0,2,For dance completists only .
10662,0,3,"Spreads itself too thin , leaving these actors , as well as the members of the commune , short of profound characterizations"
10665,2,1,"Yo , it 's The Days Of Our Lives meets Electric Boogaloo ."
10666,0,1,"I liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and it goes nowhere ."
10667,0,3,"This little film is so slovenly done , so primitive in technique , that it ca n't really be called animation ."
10668,0,1,Makes 98 minutes feel like three hours .
10671,1,3,Real-life strongman Ahola lacks the charisma and ability to carry the film on his admittedly broad shoulders .
10672,0,1,"The title , alone , should scare any sane person away ."
10675,0,1,It 's crap on a leash -- far too polite to scale the lunatic heights of Joe Dante 's similarly styled Gremlins .
10678,2,1,Let 's face it -- there are n't many reasons anyone would want to see Crossroads if they 're not big fans of teen pop kitten Britney Spears .
10681,0,1,"The movie is so resolutely cobbled together out of older movies that it even uses a totally unnecessary prologue , just because it seems obligatory ."
10682,1,3,The movie 's vision of a white American zealously spreading a Puritanical brand of Christianity to South Seas islanders is one only a true believer could relish .
10683,0,1,Maid in Manhattan proves that it 's easier to change the sheets than to change hackneyed concepts when it comes to dreaming up romantic comedies .
10685,2,1,I ca n't remember the last time I saw a movie where I wanted so badly for the protagonist to fail .
10689,1,3,"Forgettable , if good-hearted , movie ."
10690,1,4,The film 's most improbable feat ?
10691,2,1,It did n't go straight to video .
10692,0,3,... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season .
10693,1,3,The Chateau ... is less concerned with cultural and political issues than doting on its eccentric characters .
10694,0,3,"Cruel and inhuman cinematic punishment ... simultaneously degrades its characters , its stars and its audience ."
10695,3,1,It 's not too fast and not too slow .
10696,2,1,It 's not too racy and it 's not too offensive .
10699,2,0,About as original as a gangster sweating bullets while worrying about a contract on his life .
10701,2,3,"We could have expected a little more human being , and a little less product ."
10703,2,1,Whether Quitting will prove absorbing to American audiences is debatable .
10704,0,1,Becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .
10705,1,3,Family togetherness takes a back seat to inter-family rivalry and workplace ambition ... whole subplots have no explanation or even plot relevance .
10708,3,1,Two tedious acts light on great scares and a good surprise ending .
10710,0,3,The entire movie is in need of a scented bath .
10711,1,2,"I 'm sorry to say that this should seal the deal - Arnold is not , nor will he be , back ."
10712,0,3,"The story of Trouble Every Day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult ."
10713,1,2,A Movie to Forget
10715,1,0,"Enough is not a bad movie , just mediocre ."
10716,0,1,"The performances are so overstated , the effect comes off as self-parody ."
10717,1,2,"It looks good , but it is essentially empty ."
10718,1,3,The film never finds its tone and several scenes run too long .
10722,1,3,Do we really need another film that praises female self-sacrifice ?
10724,2,3,Tennessee Williams by way of Oprah 's Book Club .
10725,2,1,So verbally flatfooted and so emotionally predictable or bland that it plays like the standard made-for-TV movie .
10726,1,3,"The entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense ."
10728,1,3,This film is too busy hitting all of its assigned marks to take on any life of its own .
10730,2,1,The script feels as if it started to explore the obvious voyeuristic potential of ` hypertime ' but then backed off when the producers saw the grosses for Spy Kids .
10731,1,3,Starts off witty and sophisticated and you want to love it -- but filmmaker Yvan Attal quickly writes himself into a corner .
10732,1,3,Some Like It Hot on the Hardwood proves once again that a man in drag is not in and of himself funny .
10733,2,3,"Unfortunately , contrived plotting , stereotyped characters and Woo 's over-the-top instincts as a director undermine the moral dilemma at the movie 's heart ."
10734,1,0,Witless and utterly pointless .
10736,2,1,Show me the mugging .
10737,2,3,Represents something very close to the nadir of the thriller\/horror genre .
10738,2,0,Visually sumptuous but intellectually stultifying .
10739,1,2,"As a feature-length film , it wears out its welcome as tryingly as the title character ."
10740,2,3,"A guilty pleasure at best , and not worth seeing unless you want to laugh at it ."
10743,0,2,It 's just rather leaden and dull .
10747,2,3,Initial strangeness inexorably gives way to rote sentimentality and mystical tenderness becomes narrative expedience .
10748,2,3,"De Ayala is required to supply too much of the energy in a film that is , overall , far too staid for its subject matter ."
10749,0,1,Dismally dull sci-fi comedy .
10750,0,1,There 's surely something wrong with a comedy where the only belly laughs come from the selection of outtakes tacked onto the end credits .
10751,3,4,"When one hears Harry Shearer is going to make his debut as a film director , one would hope for the best"
10752,1,3,The leads we are given here are simply too bland to be interesting .
10757,0,1,"Even a hardened voyeur would require the patience of Job to get through this interminable , shapeless documentary about the swinging subculture ."
10759,1,3,A singularly off-putting romantic comedy .
10760,1,3,This is an exercise not in biography but in hero worship .
10761,1,2,It all comes down to whether you can tolerate Leon Barlow .
10762,2,1,I ca n't .
10763,1,3,"In the spirit of the season , I assign one bright shining star to Roberto Benigni 's Pinocchio -- but I guarantee that no wise men will be following after it ."
10765,2,3,The movie does has some entertainment value - how much depends on how well you like Chris Rock .
10766,2,1,A movie that seems motivated more by a desire to match mortarboards with Dead Poets Society and Good Will Hunting than by its own story .
10767,1,3,A culture clash comedy only half as clever as it thinks it is .
10768,0,3,The logic of it all will be Greek to anyone not predisposed to the movie 's rude and crude humor .
10769,2,1,"As self-aware movies go , Who is Cletis Tout ?"
10770,2,1,"is clever enough , though thin writing proves its undoing ."
10771,0,3,"Starts out strongly before quickly losing its focus , point and purpose in a mess of mixed messages , over-blown drama and Bruce Willis with a scar ."
10772,1,3,"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes ."
10773,0,3,After that it becomes long and tedious like a classroom play in a college history course .
10774,0,1,Director Jay Russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .
10775,2,3,"There are many things that solid acting can do for a movie , but crafting something promising from a mediocre screenplay is not one of them ."
10777,0,1,"At times , it actually hurts to watch ."
10781,0,1,"The movie is the equivalent of French hip-hop , which also seems to play on a 10-year delay ."
10782,1,3,"A beyond-lame satire , Teddy Bears ' Picnic ranks among the most pitiful directing debuts by an esteemed writer-actor ."
10784,2,3,Hollywood 's answer to an air ball .
10788,1,2,But it does n't leave you with much .
10790,1,3,"Like Mike is a slight and uninventive movie : Like the exalted Michael Jordan referred to in the title , many can aspire but none can equal ."
10791,0,1,There is nothing funny in this every-joke-has - been-told-a - thousand-times - before movie .
10792,3,4,Always destined to be measured against Anthony Asquith 's acclaimed 1952 screen adaptation .
10793,0,1,This is standard crime drama fare ... instantly forgettable and thoroughly dull .
10795,2,3,"One of those based-on-truth stories that persuades you , with every scene , that it could never really have happened this way ."
10796,1,3,"From its nauseating spinning credits sequence to a very talented but underutilized supporting cast , Bartleby squanders as much as it gives out ."
10797,1,2,"Yet another genre exercise , Gangster No. 1 is as generic as its title ."
10798,2,1,"Despite the holes in the story and the somewhat predictable plot , moments of the movie caused me to jump in my chair ..."
10799,1,3,"There 's an admirable rigor to Jimmy 's relentless anger , and to the script 's refusal of a happy ending , but as those monologues stretch on and on , you realize there 's no place for this story to go but down ."
10800,2,1,"Once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle ."
10801,1,3,"A lightweight , uneven action comedy that freely mingles French , Japanese and Hollywood cultures ."
10802,1,3,"Such a fine idea for a film , and such a stultifying , lifeless execution ."
10806,0,2,Rarely has sex on screen been so aggressively anti-erotic .
10809,1,3,A disappointment for a movie that should have been the ultimate IMAX trip .
10810,2,1,Does little to elaborate the conceit of setting this blood-soaked tragedy of murderous ambition in the era of Richard Nixon .
10814,0,1,It 's as if a bored Cage spent the duration of the film 's shooting schedule waiting to scream : `` Got AIDS yet ? ''
10815,2,3,"In a strange way , Egoyan has done too much ."
10816,2,1,He 's worked too hard on this movie .
10818,2,3,The last three narcissists left on earth compete for each others ' affections .
10819,1,3,"A clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ..."
10822,0,1,The script was reportedly rewritten a dozen times -- either 11 times too many or else too few .
10824,1,3,"To the filmmakers , Ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit ."
10825,0,3,"This is a movie filled with unlikable , spiteful idiots ; whether or not their friendship is salvaged makes no difference in the least ."
10826,1,2,"It 's as if Allen , at 66 , has stopped challenging himself ."
10828,1,3,A movie that the less charitable might describe as a castrated cross between Highlander and Lolita .
10831,2,1,It 's deep-sixed by a compulsion to catalog every bodily fluids gag in There 's Something About Mary and devise a parallel clone-gag .
10832,0,1,The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .
10833,0,1,"Sorority Boys , which is as bad at it is cruel , takes every potential laugh and stiletto-stomps the life out of it ."
10834,1,2,Here the love scenes all end in someone screaming .
10836,2,1,This is the first film I 've ever seen that had no obvious directing involved .
10837,2,1,Fans of so-bad-they 're - good cinema may find some fun in this jumbled mess .
10838,2,3,Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes .
10839,0,1,"Sheridan is painfully bad , a fourth-rate Jim Carrey who does n't understand the difference between dumb fun and just plain dumb ."
10840,1,2,"Presents nothing special and , until the final act , nothing overtly disagreeable ."
10842,0,1,Was that movie nothing more than a tepid exercise in trotting out a formula that worked five years ago but has since lost its fizz ?
10843,0,1,It goes on for too long and bogs down in a surfeit of characters and unnecessary subplots .
10847,0,1,"` In this poor remake of such a well loved classic , Parker exposes the limitations of his skill and the basic flaws in his vision . '"
10848,2,1,It 's the movie equivalent of a sweaty old guy in a rain coat shopping for cheap porn .
10851,0,1,"I found it slow , predictable and not very amusing ."
10853,0,1,Viewers will need all the luck they can muster just figuring out who 's who in this pretentious mess .
10854,2,3,"A pint-sized ` Goodfellas ' designed to appeal to the younger set , it 's not a very good movie in any objective sense , but it does mostly hold one 's interest ."
10855,0,2,Get out your pooper-scoopers .
10856,3,1,"While the material is slight , the movie is better than you might think ."
10859,1,3,"More busy than exciting , more frantic than involving , more chaotic than entertaining ."
10860,2,4,There are more shots of children smiling for the camera than typical documentary footage which hurts the overall impact of the film .
10861,1,3,It 's makes a better travelogue than movie .
10862,1,3,"It 's as if Solondz had two ideas for two movies , could n't really figure out how to flesh either out , so he just slopped ` em together here ."
10863,2,1,The fourth in a series that I 'll bet most parents had thought -- hoped !
10864,2,1,-- was a fad that had long since vanished .
10866,1,3,"Its premise is smart , but the execution is pretty weary ."
10867,1,3,The holiday message of the 37-minute Santa vs. the Snowman leaves a lot to be desired .
10868,3,2,more precious than perspicacious
10871,0,3,"If this is cinema , I pledge allegiance to Cagney and Lacey ."
10874,2,3,Most of the characters come off as pantomimesque sterotypes .
10877,2,1,It 's actually too sincere -- the crime movie equivalent of a chick flick .
10878,2,3,Most of the film feels conceived and shot on the fly -- like between lunch breaks for Shearer 's radio show and his Simpson voice-overs .
10879,1,3,"Perry 's good and his is an interesting character , but `` Serving Sara '' has n't much more to serve than silly fluff ."
10880,2,4,Nor is it a romantic comedy .
10881,2,1,Culkin turns his character into what is basically an anti-Harry Potter -- right down to the Gryffindor scarf .
10885,1,3,"Right now , they 're merely signposts marking the slow , lingering death of imagination ."
10888,0,1,It appears as if even the filmmakers did n't know what kind of movie they were making .
10889,0,1,"Beneath the uncanny , inevitable and seemingly shrewd facade of movie-biz farce ... lies a plot cobbled together from largely flat and uncreative moments ."
10890,2,1,Snipes relies too much on a scorchingly plotted dramatic scenario for its own good .
10891,1,3,"Piccoli 's performance is amazing , yes , but the symbols of loss and denial and life-at-arm 's - length in the film seem irritatingly transparent ."
10892,0,1,"Starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion ."
10895,2,1,"The result is good gossip , entertainingly delivered , yet with a distinctly musty odour , its expiry date long gone ."
10896,1,3,A sustained fest of self-congratulation between actor and director that leaves scant place for the viewer .
10897,2,1,All Analyze That proves is that there is really only one movie 's worth of decent gags to be gleaned from the premise .
10899,0,3,There 's not a comedic moment in this romantic comedy .
10901,2,3,"Wallace directs with such patronising reverence , it turns the stomach ."
10903,0,1,Poor Ben Bratt could n't find stardom if MapQuest emailed him point-to-point driving directions .
10907,0,2,"An empty , purposeless exercise ."
10908,2,3,Earnest and tentative even when it aims to shock .
10914,2,3,"Ultimately , Jane learns her place as a girl , softens up and loses some of the intensity that made her an interesting character to begin with ."
10917,2,3,"Feels like nothing quite so much as a middle-aged moviemaker 's attempt to surround himself with beautiful , half-naked women ."
10918,2,1,"When the precise nature of Matthew 's predicament finally comes into sharp focus , the revelation fails to justify the build-up ."
10919,0,1,"This picture is murder by numbers , and as easy to be bored by as your ABC 's , despite a few whopping shootouts ."
10920,2,1,Hilarious musical comedy though stymied by accents thick as mud .
10921,3,1,"If you are into splatter movies , then you will probably have a reasonably good time with The Salton Sea ."
10922,0,3,"A dull , simple-minded and stereotypical tale of drugs , death and mind-numbing indifference on the inner-city streets ."
10923,1,2,The feature-length stretch ... strains the show 's concept .
10925,2,3,A film that will probably please people already fascinated by Behan but leave everyone else yawning with admiration .
10926,2,3,"Davis the performer is plenty fetching enough , but she needs to shake up the mix , and work in something that does n't feel like a half-baked stand-up routine ."
10927,1,2,The densest distillation of Roberts ' movies ever made .
10929,1,3,A handsome but unfulfilling suspense drama more suited to a quiet evening on PBS than a night out at an AMC .
10930,2,1,"Tom Green and an Ivy League college should never appear together on a marquee , especially when the payoff is an unschooled comedy like Stealing Harvard , which fails to keep 80 minutes from seeming like 800 ."
10932,0,1,Master of Disguise runs for only 71 minutes and feels like three hours .
10933,1,3,A reworking of Die Hard and Cliffhanger but it 's nowhere near as exciting as either .
10934,0,3,Suffers from unlikable characters and a self-conscious sense of its own quirky hipness .
10935,1,3,A film without surprise geared toward maximum comfort and familiarity .
10939,1,3,"It stars schticky Chris Rock and stolid Anthony Hopkins , who seem barely in the same movie ."
10940,1,3,Their contrast is neither dramatic nor comic -- it 's just a weird fizzle .
10942,4,3,"It 's packed with adventure and a worthwhile environmental message , so it 's great for the kids ."
10943,2,1,"Parents , on the other hand , will be ahead of the plot at all times , and there is n't enough clever innuendo to fil"
10944,2,1,The niftiest trick perpetrated by The Importance of Being Earnest is the alchemical transmogrification of Wilde into Austen -- and a Hollywood-ized Austen at that .
10945,0,3,"Tykwer 's surface flash is n't just a poor fit with Kieslowski 's lyrical pessimism ; it completely contradicts everything Kieslowski 's work aspired to , including the condition of art ."
10946,2,1,"Ice Age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on ."
10949,0,3,"What ensues are much blood-splattering , mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between Americans and Brits ."
10950,1,3,A dark comedy that goes for sick and demented humor simply to do so .
10952,2,4,Visually exciting sci-fi film which suffers from a lackluster screenplay .
10955,1,3,"Sandra Bullock and Hugh Grant make a great team , but this predictable romantic comedy should get a pink slip ."
10956,1,3,"Allegiance to Chekhov , which director Michael Cacoyannis displays with somber earnestness in the new adaptation of The Cherry Orchard , is a particularly vexing handicap ."
10959,1,3,"The dramatic scenes are frequently unintentionally funny , and the action sequences -- clearly the main event -- are surprisingly uninvolving ."
10961,0,4,"Of all the Halloween 's , this is the most visually unappealing ."
10965,0,1,Attal pushes too hard to make this a comedy or serious drama .
10968,2,1,"It 's not a bad plot ; but , unfortunately , the movie is nowhere near as refined as all the classic dramas it borrows from ."
10973,2,3,"Unfortunately , neither Sendak nor the directors are particularly engaging or articulate ."
10974,0,1,"A wishy-washy melodramatic movie that shows us plenty of sturm und drung , but explains its characters ' decisions only unsatisfactorily ."
10975,2,4,Bang !
10977,2,1,"It 's actually pretty funny , but in all the wrong places ."
10978,1,3,Lurid and less than lucid work .
10979,1,3,A wannabe comedy of manners about a brainy prep-school kid with a Mrs. Robinson complex founders on its own preciousness -- and squanders its beautiful women .
10980,2,1,"At a brief 42 minutes , we need more X and less blab ."
10981,3,2,"If anything , see it for Karen Black , who camps up a storm as a fringe feminist conspiracy theorist named Dirty Dick ."
10982,0,1,This 90-minute dud could pass for Mike Tyson 's E !
10984,0,1,"This is surely one of the most frantic , virulent and foul-natured Christmas season pics ever delivered by a Hollywood studio ."
10985,0,1,"Once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea is n't funny ."
10987,1,3,"The connected stories of Breitbart and Hanussen are actually fascinating , but the filmmaking in Invincible is such that the movie does not do them justice ."
10988,0,3,"A depressingly retrograde , ` post-feminist ' romantic comedy that takes an astonishingly condescending attitude toward women ."
10991,3,1,"Just bring on the Battle Bots , please !"
10992,1,3,"While it 's all quite tasteful to look at , the attention process tends to do a little fleeing of its own ."
10994,2,1,"Yes they can swim , the title is merely Anne-Sophie Birot 's off-handed way of saying girls find adolescence difficult to wade through ."
10996,2,1,"Slow , silly and unintentionally hilarious ."
10997,0,3,The Sweetest Thing leaves a bitter taste .
10998,0,1,"In a big corner office in Hell , Satan is throwing up his hands in surrender , is firing his R&D people , and has decided he will just screen The Master of Disguise 24\/7 ."
11000,0,4,A thriller without a lot of thrills .
11001,0,1,This stuck pig of a movie flails limply between bizarre comedy and pallid horror .
11003,2,4,"Alas , another breathless movie about same !"
11004,2,1,"In Moonlight Mile , no one gets shut out of the hug cycle ."
11006,0,1,Done in mostly by a weak script that ca n't support the epic treatment .
11007,1,3,"Despite its visual virtuosity , ` Naqoyqatsi ' is banal in its message and the choice of material to convey it ."
11008,1,3,Slap her - she 's not funny !
11009,0,1,"No French people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half ."
